       t            y(t)
  0.10000000,  1.95051437
  0.20000000,  2.38532732
  0.30000000,  3.80819930
  0.40000000,  3.74732463
  0.50000000,  5.17074382
  0.60000000,  6.11867831
  0.70000000,  6.23962744
  0.80000000,  7.55450001
  0.90000000,  7.92233169
  1.00000000,  8.44039387
  1.10000000,  8.55720334
  1.20000000,  9.05902680
  1.30000000,  8.79000160
  1.40000000,  8.79055036
  1.50000000,  8.89790526
  1.60000000,  9.10232785
  1.70000000,  9.19624125
  1.80000000,  8.42472166
  1.90000000,  8.22806940
  2.00000000,  8.30675497
  2.10000000,  7.61177869
  2.20000000,  7.47952341
  2.30000000,  6.12857736
  2.40000000,  6.14059065
  2.50000000,  5.33676736
  2.60000000,  4.22373097
  2.70000000,  3.73831600
  2.80000000,  2.93086120
  2.90000000,  2.38965382
  3.00000000,  1.84596550
  3.10000000,  0.41004087
  3.20000000,  0.39755891
  3.30000000,  0.29298490
  3.40000000,  1.46435948
  3.50000000,  2.04185816
  3.60000000,  2.51512115
  3.70000000,  2.95893539
  3.80000000,  3.44179024
  3.90000000,  3.89868391
  4.00000000,  4.68387007
  4.10000000,  5.00119561
  4.20000000,  4.77031624
  4.30000000,  5.38677137
  4.40000000,  5.27894189
  4.50000000,  5.95666190
  4.60000000,  5.65068518
  4.70000000,  5.66118136
  4.80000000,  5.20063269
  4.90000000,  5.93286132
  5.00000000,  5.31567084
  5.10000000,  5.03788656
  5.20000000,  5.16215346
  5.30000000,  3.99410105
  5.40000000,  3.61888261
  5.50000000,  3.63162390
  5.60000000,  2.82412964
  5.70000000,  2.96580181
  5.80000000,  1.98148409
  5.90000000,  1.81187669
  6.00000000,  1.08780856
  6.10000000,  0.14578204
  6.20000000,  0.25076990
  6.30000000,  0.39340108
  6.40000000,  1.09784970
  6.50000000,  1.46083686
  6.60000000,  2.40869152
  6.70000000,  3.05913935
  6.80000000,  2.66230975
  6.90000000,  3.13819522
  7.00000000,  3.96473553
  7.10000000,  3.95940565
  7.20000000,  4.83690113
  7.30000000,  5.07063609
  7.40000000,  4.93155943
  7.50000000,  5.29089703
  7.60000000,  4.92851874
  7.70000000,  5.20727886
  7.80000000,  5.56261936
  7.90000000,  5.09312069
  8.00000000,  5.37906508
  8.10000000,  5.03497626
  8.20000000,  4.62731367
  8.30000000,  4.57294494
  8.40000000,  4.57703029
  8.50000000,  3.61158990
  8.60000000,  3.50305633
  8.70000000,  3.76969516
  8.80000000,  2.82848818
  8.90000000,  2.71632745
  9.00000000,  2.57689685
  9.10000000,  2.27982998
  9.20000000,  1.54142203
  9.30000000,  0.59947597
  9.40000000,  0.13289374
  9.50000000,  0.32745103
  9.60000000,  0.10034048
  9.70000000,  0.06823378
  9.80000000,  0.62933138
  9.90000000,  1.03758064
 10.00000000,  1.47802850
